,longitude,latitude,heat_flow,geometry
6888,-91.9511,18.3361,42.0,POINT (-91.9511 18.3361)
6889,-92.3838,18.4522,42.0,POINT (-92.38379999999999 18.4522)
6890,-98.6999,22.4166,42.0,POINT (-98.6999 22.4166)
6891,-94.2861,17.4649,42.0,POINT (-94.2861 17.4649)
6892,-98.2166,22.1166,42.0,POINT (-98.2166 22.1166)
6893,-94.2861,17.4649,41.0,POINT (-94.2861 17.4649)
6894,-94.0386,18.2008,41.0,POINT (-94.0386 18.2008)
6895,-94.2772,17.7902,41.0,POINT (-94.27719999999999 17.7902)
6896,-104.0,24.3,41.0,POINT (-104 24.3)
6897,-93.6997,18.1383,41.0,POINT (-93.69970000000001 18.1383)
6898,-98.2166,22.1999,41.0,POINT (-98.2166 22.1999)
6899,-93.3397,18.2547,41.0,POINT (-93.33969999999999 18.2547)
6900,-98.2166,22.1999,40.0,POINT (-98.2166 22.1999)
6901,-93.6594,17.9433,40.0,POINT (-93.65940000000001 17.9433)
6902,-94.3177,17.9472,40.0,POINT (-94.3177 17.9472)
6903,-98.4333,22.3333,40.0,POINT (-98.4333 22.3333)
6904,-92.8352,17.3983,39.0,POINT (-92.8352 17.3983)
6905,-92.543,18.1858,39.0,POINT (-92.54300000000001 18.1858)
6906,-94.4833,17.9494,39.0,POINT (-94.4833 17.9494)
6907,-101.6417,18.8917,39.0,POINT (-101.6417 18.8917)
6908,-93.8472,17.9238,39.0,POINT (-93.8472 17.9238)
6909,-92.8499,17.8694,39.0,POINT (-92.84990000000001 17.8694)
6910,-97.4499,20.7999,39.0,POINT (-97.4499 20.7999)
6911,-93.6513,17.9802,38.0,POINT (-93.65130000000001 17.9802)
6912,-94.9277,17.5499,38.0,POINT (-94.9277 17.5499)
6913,-98.0833,23.0333,38.0,POINT (-98.08329999999999 23.0333)
6914,-94.4861,18.0419,38.0,POINT (-94.48609999999999 18.0419)
6916,-92.5263,18.2322,38.0,POINT (-92.52630000000001 18.2322)
6917,-97.5999,20.6166,37.0,POINT (-97.59990000000001 20.6166)
6918,-92.3838,18.4522,37.0,POINT (-92.38379999999999 18.4522)
6919,-98.4499,22.2833,36.0,POINT (-98.4499 22.2833)
